v_left,v_right,v_left_real,v_right_real
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
1.8840000000000001,3.7680000000000002,1.3716313897109613,1.894131666276513
1.8840000000000001,4.396,1.3716313897109613,4.805510509304884
1.8840000000000001,5.024,1.8672341253699327,5.656835509509575
1.8840000000000001,5.652,2.6178313464653202,4.106143625771128
1.8840000000000001,6.28,2.8527745386449306,6.150488737152845
v_left,v_right,v_left_real,v_right_real
0.0,0.0,-0.0,0.0
0.0,0.628,-0.0,0.0
0.0,1.256,-0.0,0.0
0.0,1.8840000000000001,-0.0,0.0
0.0,2.512,-0.0,0.0
0.0,3.14,-0.0,0.0
0.0,3.7680000000000002,-0.0,0.001945338785512055
0.0,4.396,-0.0,0.001945338785512055
0.0,5.024,-0.0,0.0046953766197874785
0.0,5.652,-0.0,0.0046953766197874785
0.0,6.28,-0.0,6.170614754281393
0.628,0.0,-0.0,2.358288445123812
0.628,0.628,-0.0,2.358288445123812
0.628,1.256,-0.0,2.358288445123812
0.628,1.8840000000000001,-0.0,2.358288445123812
0.628,2.512,-0.0,2.358288445123812
0.628,3.14,-0.0,2.358288445123812
0.628,3.7680000000000002,-0.0,2.358288445123812
0.628,4.396,-0.0,2.358288445123812
0.628,5.024,-0.0,4.833634015990467
0.628,5.652,-0.0,3.8051965760021678
0.628,6.28,-0.0,6.3678369289491235
1.256,0.0,-0.0,1.8448246688377568
1.256,0.628,-0.0,1.8448246688377568
1.256,1.256,-0.0,1.8448246688377568
1.256,1.8840000000000001,0.0004433797496348256,1.8448246688377568
1.256,2.512,0.0004433797496348256,1.8448246688377568
1.256,3.14,0.0004433797496348256,1.8448246688377568
1.256,3.7680000000000002,0.0004433797496348256,1.8448246688377568
1.256,4.396,0.0004433797496348256,1.8448246688377568
1.256,5.024,0.0004433797496348256,0.7464279488819402
1.256,5.652,0.0004433797496348256,0.7464279488819402
1.256,6.28,0.0004433797496348256,6.332720198282382
1.8840000000000001,0.0,1.3716313897109613,1.894131666276513
1.8840000000000001,0.628,1.3716313897109613,1.894131666276513
1.8840000000000001,1.256,1.3716313897109613,1.894131666276513
1.8840000000000001,1.8840000000000001,1.3716313897109613,1.894131666276513
1.8840000000000001,2.512,1.3716313897109613,1.894131666276513
1.8840000000000001,3.14,1.3716313897109613,1.894131666276513
